valuation_batch_id,run_id,datestamp,timestamp,engine_name,number_of_threads,hash_size,time_per_valuation,number_of_runs,machine_ident,model,chess1m_sp_idn,chess960_scharnagl_sp_idn_white,chess960_scharnagl_sp_idn_black,rank_1_white,rank_8_black,standard_fen,shredder_fen,is_chess960,is_classical,score_cp,score_mate_in,score_is_mate,score,lowerbound,upperbound,depth,seldepth,nodes,nps,move_1,move_2,move_3,move_4,move_5,move_6,pv,info_pretty,error
2025-09-28_18:31:09_960_Alienware Aurora R7,0,2025-09-28,18:31:09,Stockfish 17.1,,,,960,Alienware Aurora R7_6_6_23.19,Alienware Aurora R7,0,0,0,BBQNNRKR,bbqnnrkr,bbqnnrkr/pppppppp/8/8/8/8/PPPPPPPP/BBQNNRKR w KQkq - 0 1,bbqnnrkr/pppppppp/8/8/8/8/PPPPPPPP/BBQNNRKR w HFhf - 0 1,1,0,18,,False,"PovScore(Cp(+18), WHITE)",True,True,31,54,64916736,3245836,b4,,,,,,[Move.from_uci('b2b4')],"{'currmove': Move.from_uci('c2c4'),
 'currmovenumber': 1,
 'depth': 31,
 'hashfull': 61,
 'lowerbound': True,
 'multipv': 1,
 'nodes': 64916736,
 'nps': 3245836,
 'pv': [Move.from_uci('b2b4')],
 'score': PovScore(Cp(+18), WHITE),
 'seldepth': 54,
 'string': 'NNUE evaluation using nn-37f18f62d772.nnue (6MiB, (22528, 128, 15, '
           '32, 1))',
 'tbhits': 0,
 'time': 20.0,
 'upperbound': True}",
2025-09-28_18:31:09_960_Alienware Aurora R7,1,2025-09-28,18:31:29,Stockfish 17.1,,,,960,Alienware Aurora R7_6_6_23.19,Alienware Aurora R7,961,1,1,BQNBNRKR,bqnbnrkr,bqnbnrkr/pppppppp/8/8/8/8/PPPPPPPP/BQNBNRKR w KQkq - 0 1,bqnbnrkr/pppppppp/8/8/8/8/PPPPPPPP/BQNBNRKR w HFhf - 0 1,1,0,13,,False,"PovScore(Cp(+13), WHITE)",True,True,32,48,65876253,3293647,h4,h5,c4,c5,b3,e6,"[Move.from_uci('h2h4'), Move.from_uci('h7h5'), Move.from_uci('c2c4'), Move.from_uci('c7c5'), Move.from_uci('b2b3'), Move.from_uci('e7e6'), Move.from_uci('e2e3'), Move.from_uci('c8d6'), Move.from_uci('c1e2'), Move.from_uci('d6f5'), Move.from_uci('e2f4'), Move.from_uci('b7b5'), Move.from_uci('c4b5'), Move.from_uci('b8b5'), Move.from_uci('e1f3'), Move.from_uci('h8h6'), Move.from_uci('d1e2'), Move.from_uci('b5b6'), Move.from_uci('h1h3'), Move.from_uci('d8c7'), Move.from_uci('f3e5'), Move.from_uci('e8f6'), Move.from_uci('b1c2'), Move.from_uci('d7d6'), Move.from_uci('e5c4'), Move.from_uci('b6b7')]","{'currmove': Move.from_uci('c2c4'),
 'currmovenumber': 1,
 'depth': 32,
 'hashfull': 57,
 'lowerbound': True,
 'multipv': 1,
 'nodes': 65876253,
 'nps': 3293647,
 'pv': [Move.from_uci('h2h4'),
        Move.from_uci('h7h5'),
        Move.from_uci('c2c4'),
        Move.from_uci('c7c5'),
        Move.from_uci('b2b3'),
        Move.from_uci('e7e6'),
        Move.from_uci('e2e3'),
        Move.from_uci('c8d6'),
        Move.from_uci('c1e2'),
        Move.from_uci('d6f5'),
        Move.from_uci('e2f4'),
        Move.from_uci('b7b5'),
        Move.from_uci('c4b5'),
        Move.from_uci('b8b5'),
        Move.from_uci('e1f3'),
        Move.from_uci('h8h6'),
        Move.from_uci('d1e2'),
        Move.from_uci('b5b6'),
        Move.from_uci('h1h3'),
        Move.from_uci('d8c7'),
        Move.from_uci('f3e5'),
        Move.from_uci('e8f6'),
        Move.from_uci('b1c2'),
        Move.from_uci('d7d6'),
        Move.from_uci('e5c4'),
        Move.from_uci('b6b7')],
 'score': PovScore(Cp(+13), WHITE),
 'seldepth': 48,
 'string': 'NNUE evaluation using nn-37f18f62d772.nnue (6MiB, (22528, 128, 15, '
           '32, 1))',
 'tbhits': 0,
 'time': 20.001,
 'upperbound': True}",
2025-09-28_18:31:09_960_Alienware Aurora R7,2,2025-09-28,18:31:49,Stockfish 17.1,,,,960,Alienware Aurora R7_6_6_23.19,Alienware Aurora R7,1922,2,2,BQNNRBKR,bqnnrbkr,bqnnrbkr/pppppppp/8/8/8/8/PPPPPPPP/BQNNRBKR w KQkq - 0 1,bqnnrbkr/pppppppp/8/8/8/8/PPPPPPPP/BQNNRBKR w HEhe - 0 1,1,0,31,,False,"PovScore(Cp(+31), WHITE)",True,True,36,48,70834772,3541738,h4,h5,d4,d5,b3,b6,"[Move.from_uci('h2h4'), Move.from_uci('h7h5'), Move.from_uci('d2d4'), Move.from_uci('d7d5'), Move.from_uci('b2b3'), Move.from_uci('b7b6'), Move.from_uci('c2c4'), Move.from_uci('e7e6'), Move.from_uci('c1d3'), Move.from_uci('c7c5'), Move.from_uci('e2e3'), Move.from_uci('h8h6'), Move.from_uci('d3e5'), Move.from_uci('b8b7'), Move.from_uci('h1h3'), Move.from_uci('d8c6'), Move.from_uci('e5f3'), Move.from_uci('c8d6'), Move.from_uci('d1c3'), Move.from_uci('d5c4'), Move.from_uci('b3c4'), Move.from_uci('c5d4'), Move.from_uci('e3d4'), Move.from_uci('c6a5'), Move.from_uci('h3g3'), Move.from_uci('a5c4'), Move.from_uci('b1c1'), Move.from_uci('d6f5'), Move.from_uci('f1c4'), Move.from_uci('f5g3'), Move.from_uci('f2g3'), Move.from_uci('h6g6'), Move.from_uci('g1h2'), Move.from_uci('e8c8'), Move.from_uci('c4d3'), Move.from_uci('g6g4'), Move.from_uci('c1e3'), Move.from_uci('f8b4'), Move.from_uci('d3e4')]","{'currmove': Move.from_uci('h2h4'),
 'currmovenumber': 1,
 'depth': 36,
 'hashfull': 52,
 'lowerbound': True,
 'multipv': 1,
 'nodes': 70834772,
 'nps': 3541738,
 'pv': [Move.from_uci('h2h4'),
        Move.from_uci('h7h5'),
        Move.from_uci('d2d4'),
        Move.from_uci('d7d5'),
        Move.from_uci('b2b3'),
        Move.from_uci('b7b6'),
        Move.from_uci('c2c4'),
        Move.from_uci('e7e6'),
        Move.from_uci('c1d3'),
        Move.from_uci('c7c5'),
        Move.from_uci('e2e3'),
        Move.from_uci('h8h6'),
        Move.from_uci('d3e5'),
        Move.from_uci('b8b7'),
        Move.from_uci('h1h3'),
        Move.from_uci('d8c6'),
        Move.from_uci('e5f3'),
        Move.from_uci('c8d6'),
        Move.from_uci('d1c3'),
        Move.from_uci('d5c4'),
        Move.from_uci('b3c4'),
        Move.from_uci('c5d4'),
        Move.from_uci('e3d4'),
        Move.from_uci('c6a5'),
        Move.from_uci('h3g3'),
        Move.from_uci('a5c4'),
        Move.from_uci('b1c1'),
        Move.from_uci('d6f5'),
        Move.from_uci('f1c4'),
        Move.from_uci('f5g3'),
        Move.from_uci('f2g3'),
        Move.from_uci('h6g6'),
        Move.from_uci('g1h2'),
        Move.from_uci('e8c8'),
        Move.from_uci('c4d3'),
        Move.from_uci('g6g4'),
        Move.from_uci('c1e3'),
        Move.from_uci('f8b4'),
        Move.from_uci('d3e4')],
 'score': PovScore(Cp(+31), WHITE),
 'seldepth': 48,
 'string': 'NNUE evaluation using nn-37f18f62d772.nnue (6MiB, (22528, 128, 15, '
           '32, 1))',
 'tbhits': 0,
 'time': 20.0,
 'upperbound': True}",
2025-09-28_18:31:09_960_Alienware Aurora R7,3,2025-09-28,18:32:09,Stockfish 17.1,,,,960,Alienware Aurora R7_6_6_23.19,Alienware Aurora R7,2883,3,3,BQNNRKRB,bqnnrkrb,bqnnrkrb/pppppppp/8/8/8/8/PPPPPPPP/BQNNRKRB w KQkq - 0 1,bqnnrkrb/pppppppp/8/8/8/8/PPPPPPPP/BQNNRKRB w GEge - 0 1,1,0,24,,False,"PovScore(Cp(+24), WHITE)",True,True,33,46,63656283,3182814,b4,b5,e4,O-O,g3,f5,"[Move.from_uci('b2b4'), Move.from_uci('b7b5'), Move.from_uci('e2e4'), Move.from_uci('f8g8'), Move.from_uci('g2g3'), Move.from_uci('f7f5'), Move.from_uci('d2d3'), Move.from_uci('g7g6'), Move.from_uci('a1h8'), Move.from_uci('g8h8'), Move.from_uci('b1b2'), Move.from_uci('h8g8'), Move.from_uci('f1g1'), Move.from_uci('e7e5'), Move.from_uci('h1g2'), Move.from_uci('d7d6'), Move.from_uci('f2f4'), Move.from_uci('f5e4'), Move.from_uci('d3e4'), Move.from_uci('c8b6'), Move.from_uci('d1e3'), Move.from_uci('b6c4'), Move.from_uci('e3c4'), Move.from_uci('b5c4'), Move.from_uci('b2c3'), Move.from_uci('b8b6'), Move.from_uci('g1h1'), Move.from_uci('b6d4'), Move.from_uci('c1e2'), Move.from_uci('d4c3'), Move.from_uci('e2c3'), Move.from_uci('e5f4'), Move.from_uci('f1f4'), Move.from_uci('f8f4'), Move.from_uci('g3f4')]","{'currmove': Move.from_uci('g2g3'),
 'currmovenumber': 2,
 'depth': 33,
 'hashfull': 49,
 'lowerbound': True,
 'multipv': 1,
 'nodes': 63656283,
 'nps': 3182814,
 'pv': [Move.from_uci('b2b4'),
        Move.from_uci('b7b5'),
        Move.from_uci('e2e4'),
        Move.from_uci('f8g8'),
        Move.from_uci('g2g3'),
        Move.from_uci('f7f5'),
        Move.from_uci('d2d3'),
        Move.from_uci('g7g6'),
        Move.from_uci('a1h8'),
        Move.from_uci('g8h8'),
        Move.from_uci('b1b2'),
        Move.from_uci('h8g8'),
        Move.from_uci('f1g1'),
        Move.from_uci('e7e5'),
        Move.from_uci('h1g2'),
        Move.from_uci('d7d6'),
        Move.from_uci('f2f4'),
        Move.from_uci('f5e4'),
        Move.from_uci('d3e4'),
        Move.from_uci('c8b6'),
        Move.from_uci('d1e3'),
        Move.from_uci('b6c4'),
        Move.from_uci('e3c4'),
        Move.from_uci('b5c4'),
        Move.from_uci('b2c3'),
        Move.from_uci('b8b6'),
        Move.from_uci('g1h1'),
        Move.from_uci('b6d4'),
        Move.from_uci('c1e2'),
        Move.from_uci('d4c3'),
        Move.from_uci('e2c3'),
        Move.from_uci('e5f4'),
        Move.from_uci('f1f4'),
        Move.from_uci('f8f4'),
        Move.from_uci('g3f4')],
 'score': PovScore(Cp(+24), WHITE),
 'seldepth': 46,
 'string': 'NNUE evaluation using nn-37f18f62d772.nnue (6MiB, (22528, 128, 15, '
           '32, 1))',
 'tbhits': 0,
 'time': 20.0,
 'upperbound': True}",
2025-09-28_18:31:09_960_Alienware Aurora R7,4,2025-09-28,18:32:29,Stockfish 17.1,,,,960,Alienware Aurora R7_6_6_23.19,Alienware Aurora R7,3844,4,4,QBBNNRKR,qbbnnrkr,qbbnnrkr/pppppppp/8/8/8/8/PPPPPPPP/QBBNNRKR w KQkq - 0 1,qbbnnrkr/pppppppp/8/8/8/8/PPPPPPPP/QBBNNRKR w HFhf - 0 1,1,0,28,,False,"PovScore(Cp(+28), WHITE)",True,True,34,42,68535299,3426764,d4,d5,,,,,"[Move.from_uci('d2d4'), Move.from_uci('d7d5')]","{'currmove': Move.from_uci('c2c4'),
 'currmovenumber': 3,
 'depth': 34,
 'hashfull': 57,
 'lowerbound': True,
 'multipv': 1,
 'nodes': 68535299,
 'nps': 3426764,
 'pv': [Move.from_uci('d2d4'), Move.from_uci('d7d5')],
 'score': PovScore(Cp(+28), WHITE),
 'seldepth': 42,
 'string': 'NNUE evaluation using nn-37f18f62d772.nnue (6MiB, (22528, 128, 15, '
           '32, 1))',
 'tbhits': 0,
 'time': 20.0,
 'upperbound': True}",
2025-09-28_18:31:09_960_Alienware Aurora R7,5,2025-09-28,18:32:49,Stockfish 17.1,,,,960,Alienware Aurora R7_6_6_23.19,Alienware Aurora R7,4805,5,5,QNBBNRKR,qnbbnrkr,qnbbnrkr/pppppppp/8/8/8/8/PPPPPPPP/QNBBNRKR w KQkq - 0 1,qnbbnrkr/pppppppp/8/8/8/8/PPPPPPPP/QNBBNRKR w HFhf - 0 1,1,0,37,,False,"PovScore(Cp(+37), WHITE)",True,,34,42,67965908,3398295,d4,,,,,,[Move.from_uci('d2d4')],"{'currmove': Move.from_uci('d2d4'),
 'currmovenumber': 1,
 'depth': 34,
 'hashfull': 57,
 'lowerbound': True,
 'multipv': 1,
 'nodes': 67965908,
 'nps': 3398295,
 'pv': [Move.from_uci('d2d4')],
 'score': PovScore(Cp(+37), WHITE),
 'seldepth': 42,
 'string': 'NNUE evaluation using nn-37f18f62d772.nnue (6MiB, (22528, 128, 15, '
           '32, 1))',
 'tbhits': 0,
 'time': 20.0}",
2025-09-28_18:31:09_960_Alienware Aurora R7,6,2025-09-28,18:33:09,Stockfish 17.1,,,,960,Alienware Aurora R7_6_6_23.19,Alienware Aurora R7,5766,6,6,QNBNRBKR,qnbnrbkr,qnbnrbkr/pppppppp/8/8/8/8/PPPPPPPP/QNBNRBKR w KQkq - 0 1,qnbnrbkr/pppppppp/8/8/8/8/PPPPPPPP/QNBNRBKR w HEhe - 0 1,1,0,39,,False,"PovScore(Cp(+39), WHITE)",True,True,36,53,68890662,3444533,d4,Nbc6,c3,d5,e4,dxe4,"[Move.from_uci('d2d4'), Move.from_uci('b8c6'), Move.from_uci('c2c3'), Move.from_uci('d7d5'), Move.from_uci('e2e4'), Move.from_uci('d5e4'), Move.from_uci('e1e4'), Move.from_uci('e7e6'), Move.from_uci('b1d2'), Move.from_uci('f8d6'), Move.from_uci('e4e1'), Move.from_uci('a7a6'), Move.from_uci('d2e4'), Move.from_uci('g8h8'), Move.from_uci('f2f4'), Move.from_uci('f7f5'), Move.from_uci('e4d6'), Move.from_uci('c7d6'), Move.from_uci('b2b3'), Move.from_uci('b7b5'), Move.from_uci('h2h4'), Move.from_uci('e6e5'), Move.from_uci('a2a4'), Move.from_uci('a8b7'), Move.from_uci('a4b5'), Move.from_uci('a6b5'), Move.from_uci('d4d5'), Move.from_uci('c6e7'), Move.from_uci('c3c4'), Move.from_uci('e5f4'), Move.from_uci('h4h5'), Move.from_uci('f4f3'), Move.from_uci('g2f3'), Move.from_uci('b5c4'), Move.from_uci('b3c4'), Move.from_uci('f5f4'), Move.from_uci('a1c3'), Move.from_uci('e7f5'), Move.from_uci('e1e8'), Move.from_uci('f8e8'), Move.from_uci('c1f4'), Move.from_uci('b7a7'), Move.from_uci('d1f2'), Move.from_uci('d8f7')]","{'currmove': Move.from_uci('d2d4'),
 'currmovenumber': 1,
 'depth': 36,
 'hashfull': 54,
 'lowerbound': True,
 'multipv': 1,
 'nodes': 68890662,
 'nps': 3444533,
 'pv': [Move.from_uci('d2d4'),
        Move.from_uci('b8c6'),
        Move.from_uci('c2c3'),
        Move.from_uci('d7d5'),
        Move.from_uci('e2e4'),
        Move.from_uci('d5e4'),
        Move.from_uci('e1e4'),
        Move.from_uci('e7e6'),
        Move.from_uci('b1d2'),
        Move.from_uci('f8d6'),
        Move.from_uci('e4e1'),
        Move.from_uci('a7a6'),
        Move.from_uci('d2e4'),
        Move.from_uci('g8h8'),
        Move.from_uci('f2f4'),
        Move.from_uci('f7f5'),
        Move.from_uci('e4d6'),
        Move.from_uci('c7d6'),
        Move.from_uci('b2b3'),
        Move.from_uci('b7b5'),
        Move.from_uci('h2h4'),
        Move.from_uci('e6e5'),
        Move.from_uci('a2a4'),
        Move.from_uci('a8b7'),
        Move.from_uci('a4b5'),
        Move.from_uci('a6b5'),
        Move.from_uci('d4d5'),
        Move.from_uci('c6e7'),
        Move.from_uci('c3c4'),
        Move.from_uci('e5f4'),
        Move.from_uci('h4h5'),
        Move.from_uci('f4f3'),
        Move.from_uci('g2f3'),
        Move.from_uci('b5c4'),
        Move.from_uci('b3c4'),
        Move.from_uci('f5f4'),
        Move.from_uci('a1c3'),
        Move.from_uci('e7f5'),
        Move.from_uci('e1e8'),
        Move.from_uci('f8e8'),
        Move.from_uci('c1f4'),
        Move.from_uci('b7a7'),
        Move.from_uci('d1f2'),
        Move.from_uci('d8f7')],
 'score': PovScore(Cp(+39), WHITE),
 'seldepth': 53,
 'string': 'NNUE evaluation using nn-37f18f62d772.nnue (6MiB, (22528, 128, 15, '
           '32, 1))',
 'tbhits': 0,
 'time': 20.0,
 'upperbound': True}",
2025-09-28_18:31:09_960_Alienware Aurora R7,7,2025-09-28,18:33:29,Stockfish 17.1,,,,960,Alienware Aurora R7_6_6_23.19,Alienware Aurora R7,6727,7,7,QNBNRKRB,qnbnrkrb,qnbnrkrb/pppppppp/8/8/8/8/PPPPPPPP/QNBNRKRB w KQkq - 0 1,qnbnrkrb/pppppppp/8/8/8/8/PPPPPPPP/QNBNRKRB w GEge - 0 1,1,0,20,,False,"PovScore(Cp(+20), WHITE)",True,True,29,49,62552314,3127459,g4,d6,c4,h5,h3,hxg4,"[Move.from_uci('g2g4'), Move.from_uci('d7d6'), Move.from_uci('c2c4'), Move.from_uci('h7h5'), Move.from_uci('h2h3'), Move.from_uci('h5g4'), Move.from_uci('h3g4'), Move.from_uci('g7g6'), Move.from_uci('b1c3'), Move.from_uci('c8d7'), Move.from_uci('d2d3'), Move.from_uci('h8g7'), Move.from_uci('f2f4'), Move.from_uci('b8c6'), Move.from_uci('d1f2'), Move.from_uci('g8h8'), Move.from_uci('b2b3'), Move.from_uci('a8c8'), Move.from_uci('c1b2'), Move.from_uci('e7e5'), Move.from_uci('f1e1'), Move.from_uci('d8e6'), Move.from_uci('f4f5'), Move.from_uci('g6f5'), Move.from_uci('g4f5'), Move.from_uci('e6f4'), Move.from_uci('e2e3')]","{'currmove': Move.from_uci('g2g4'),
 'currmovenumber': 1,
 'depth': 29,
 'hashfull': 55,
 'lowerbound': True,
 'multipv': 1,
 'nodes': 62552314,
 'nps': 3127459,
 'pv': [Move.from_uci('g2g4'),
        Move.from_uci('d7d6'),
        Move.from_uci('c2c4'),
        Move.from_uci('h7h5'),
        Move.from_uci('h2h3'),
        Move.from_uci('h5g4'),
        Move.from_uci('h3g4'),
        Move.from_uci('g7g6'),
        Move.from_uci('b1c3'),
        Move.from_uci('c8d7'),
        Move.from_uci('d2d3'),
        Move.from_uci('h8g7'),
        Move.from_uci('f2f4'),
        Move.from_uci('b8c6'),
        Move.from_uci('d1f2'),
        Move.from_uci('g8h8'),
        Move.from_uci('b2b3'),
        Move.from_uci('a8c8'),
        Move.from_uci('c1b2'),
        Move.from_uci('e7e5'),
        Move.from_uci('f1e1'),
        Move.from_uci('d8e6'),
        Move.from_uci('f4f5'),
        Move.from_uci('g6f5'),
        Move.from_uci('g4f5'),
        Move.from_uci('e6f4'),
        Move.from_uci('e2e3')],
 'score': PovScore(Cp(+20), WHITE),
 'seldepth': 49,
 'string': 'NNUE evaluation using nn-37f18f62d772.nnue (6MiB, (22528, 128, 15, '
           '32, 1))',
 'tbhits': 0,
 'time': 20.001,
 'upperbound': True}",
2025-09-28_18:31:09_960_Alienware Aurora R7,8,2025-09-28,18:33:49,Stockfish 17.1,,,,960,Alienware Aurora R7_6_6_23.19,Alienware Aurora R7,7688,8,8,QBNNBRKR,qbnnbrkr,qbnnbrkr/pppppppp/8/8/8/8/PPPPPPPP/QBNNBRKR w KQkq - 0 1,qbnnbrkr/pppppppp/8/8/8/8/PPPPPPPP/QBNNBRKR w HFhf - 0 1,1,0,36,,False,"PovScore(Cp(+36), WHITE)",True,True,34,50,65782680,3289134,h4,h5,d4,d5,b3,b6,"[Move.from_uci('h2h4'), Move.from_uci('h7h5'), Move.from_uci('d2d4'), Move.from_uci('d7d5'), Move.from_uci('b2b3'), Move.from_uci('b7b6'), Move.from_uci('c2c4'), Move.from_uci('d5c4'), Move.from_uci('b3c4'), Move.from_uci('c7c5'), Move.from_uci('c1b3'), Move.from_uci('c5d4'), Move.from_uci('b3d4'), Move.from_uci('a8b7'), Move.from_uci('e1c3'), Move.from_uci('d8c6'), Move.from_uci('d4f3'), Move.from_uci('f7f6'), Move.from_uci('d1e3'), Move.from_uci('c8d6'), Move.from_uci('f1c1'), Move.from_uci('b7c8'), Move.from_uci('c4c5'), Move.from_uci('b6c5'), Move.from_uci('c3b2'), Move.from_uci('d6b7'), Move.from_uci('g1h1'), Move.from_uci('e8f7'), Move.from_uci('b1f5'), Move.from_uci('c8c7'), Move.from_uci('g2g3'), Move.from_uci('f8d8'), Move.from_uci('a1b1'), Move.from_uci('g8h8'), Move.from_uci('f5e4'), Move.from_uci('f8e8'), Move.from_uci('b2a3'), Move.from_uci('b7d6'), Move.from_uci('c1c5'), Move.from_uci('d6e4'), Move.from_uci('b1e4')]","{'currmove': Move.from_uci('h2h4'),
 'currmovenumber': 1,
 'depth': 34,
 'hashfull': 55,
 'lowerbound': True,
 'multipv': 1,
 'nodes': 65782680,
 'nps': 3289134,
 'pv': [Move.from_uci('h2h4'),
        Move.from_uci('h7h5'),
        Move.from_uci('d2d4'),
        Move.from_uci('d7d5'),
        Move.from_uci('b2b3'),
        Move.from_uci('b7b6'),
        Move.from_uci('c2c4'),
        Move.from_uci('d5c4'),
        Move.from_uci('b3c4'),
        Move.from_uci('c7c5'),
        Move.from_uci('c1b3'),
        Move.from_uci('c5d4'),
        Move.from_uci('b3d4'),
        Move.from_uci('a8b7'),
        Move.from_uci('e1c3'),
        Move.from_uci('d8c6'),
        Move.from_uci('d4f3'),
        Move.from_uci('f7f6'),
        Move.from_uci('d1e3'),
        Move.from_uci('c8d6'),
        Move.from_uci('f1c1'),
        Move.from_uci('b7c8'),
        Move.from_uci('c4c5'),
        Move.from_uci('b6c5'),
        Move.from_uci('c3b2'),
        Move.from_uci('d6b7'),
        Move.from_uci('g1h1'),
        Move.from_uci('e8f7'),
        Move.from_uci('b1f5'),
        Move.from_uci('c8c7'),
        Move.from_uci('g2g3'),
        Move.from_uci('f8d8'),
        Move.from_uci('a1b1'),
        Move.from_uci('g8h8'),
        Move.from_uci('f5e4'),
        Move.from_uci('f8e8'),
        Move.from_uci('b2a3'),
        Move.from_uci('b7d6'),
        Move.from_uci('c1c5'),
        Move.from_uci('d6e4'),
        Move.from_uci('b1e4')],
 'score': PovScore(Cp(+36), WHITE),
 'seldepth': 50,
 'string': 'NNUE evaluation using nn-37f18f62d772.nnue (6MiB, (22528, 128, 15, '
           '32, 1))',
 'tbhits': 0,
 'time': 20.0,
 'upperbound': True}",
2025-09-28_18:31:09_960_Alienware Aurora R7,9,2025-09-28,18:34:09,Stockfish 17.1,,,,960,Alienware Aurora R7_6_6_23.19,Alienware Aurora R7,8649,9,9,QNNBBRKR,qnnbbrkr,qnnbbrkr/pppppppp/8/8/8/8/PPPPPPPP/QNNBBRKR w KQkq - 0 1,qnnbbrkr/pppppppp/8/8/8/8/PPPPPPPP/QNNBBRKR w HFhf - 0 1,1,0,37,,False,"PovScore(Cp(+37), WHITE)",True,True,36,51,68228219,3411240,h4,h5,,,,,"[Move.from_uci('h2h4'), Move.from_uci('h7h5')]","{'currmove': Move.from_uci('b2b4'),
 'currmovenumber': 1,
 'depth': 36,
 'hashfull': 57,
 'lowerbound': True,
 'multipv': 1,
 'nodes': 68228219,
 'nps': 3411240,
 'pv': [Move.from_uci('h2h4'), Move.from_uci('h7h5')],
 'score': PovScore(Cp(+37), WHITE),
 'seldepth': 51,
 'string': 'NNUE evaluation using nn-37f18f62d772.nnue (6MiB, (22528, 128, 15, '
           '32, 1))',
 'tbhits': 0,
 'time': 20.001,
 'upperbound': True}",
